HCl (%),H2SO4 (%),CuSO4 (%),pH Value,Temperature (°C),Etching Time (s),Capacitance (pF),Insulation Resistance (MΩ),Impedance Match (Ω),Dielectric Breakdown (kV),Board Thickness (mm),Board Width (mm),Board Length (mm),Hole Diameter Deviation (mm),Pad-to-Hole Alignment (mm),Silkscreen Clarity,Solderability Test,Dimension Accuracy,Frequency Test Result,Defect Type,PCB_Status
3.25,3.04,1.34,5.2,46.48,131,37.95,30.09,51.13,4.23,1.42,154,217,0.07,0.065,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.67,3.19,1.32,5.21,45.87,102,32.64,99.28,47.15,3.68,1.4,156,206,0.014,0.005,Clear,Pass,Accurate,Pass,None,OK
3.1,3.23,1.27,4.52,43.25,124,25.7,68.22,51.69,3.37,1.4,130,196,0.022,0.028,Clear,Pass,Accurate,Pass,None,OK
4,3.23,1.37,5.11,45.84,108,29.85,82.46,47.32,3.23,1.23,145,196,0.028,0.018,Clear,Pass,Accurate,Pass,None,OK
3.76,3.44,1.38,5.46,43.27,97,28.24,80.58,51.49,3.69,1.26,164,200,0.023,0.022,Clear,Pass,Accurate,Pass,None,OK
2.81,2.8,1.47,4.57,49.62,136,30.42,64.17,53.53,3.73,1.11,150,204,0.073,0.051,Clear,Pass,Accurate,Fail,Delamination,Faulty
2.62,3.16,1.52,5.47,45.18,84,36.73,79.84,47.54,2.99,1.04,176,213,0.072,0.073,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.73,2.74,1.18,5.16,45.35,96,33.5,84.38,47.32,4.33,1.39,165,205,0.042,0.03,Clear,Pass,Accurate,Pass,None,OK
3.7,3.22,1.34,5.17,46.27,113,39.12,95.38,53.34,3.2,1.32,177,216,0.054,0.063,Clear,Pass,Inaccurate,Fail,Delamination,Faulty
3.92,3.53,0.84,5.88,42.53,137,33.97,52.93,48.09,3.46,1.42,178,220,0.099,0.072,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.06,2.77,1.13,5.42,45.39,116,32.08,51.92,48.52,3.28,1.32,161,193,0.001,0.033,Clear,Pass,Accurate,Pass,None,OK
4.44,3.44,1.03,4.94,48.18,80,20.41,46.59,48.48,3.12,1.03,151,201,0.03,0.014,Blurred,Fail,Accurate,Fail,Short Circuit,Faulty
3.4,2.59,1.13,5.07,44.21,95,33.69,64.59,52.05,3.85,1.43,158,205,0.01,0.032,Clear,Pass,Accurate,Pass,None,OK
3.09,3.09,1.01,5.34,43.32,105,25.46,95.47,52.71,4.44,1.24,168,194,0.044,0.013,Clear,Pass,Accurate,Pass,None,OK
3.36,2.9,1.11,4.62,46.8,115,32.21,71.19,49.49,3.96,1.26,152,208,0.003,0.04,Clear,Pass,Accurate,Pass,None,OK
3.57,3,1.14,4.62,45.14,100,30.4,98.03,52.82,3.66,1.37,144,203,0.011,0.046,Clear,Pass,Accurate,Pass,None,OK
3.88,2.67,1.01,4.62,45.32,102,33.25,60.68,50.76,4.07,1.35,155,196,0.018,0.016,Clear,Pass,Accurate,Pass,None,OK
